text,emoji
i know that feeling for sure,joy
i feel as sweet as a centuries old cake,joy
i really want to go buy some yardage of art gallery just to play with because it feels so amazing,surprise
i feel tender cool and relax after enjoying these wonderful masters,love
i feel a little lame admitting it because these are not high ticket price items however i didnt want to buy both so i had to make a choice,sadness
i feel like karen is being far too greedy pushy demanding on all fronts,anger
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,fear
i feel that his apology was sincere i just couldnt help feeling a bit more unhappy about what happened,joy
i am feeling overwhelmed by trying to do it all that i think on the women before me,surprise
i feel as fantastic as a beauty and beast moment would have been i did not go through any magical dramatically lit transformations as i exited the first trimester and emerged in the second,joy
i've never been a huge holiday person but i definitely feel more festive more hopeful more willing to celebrate others joys,joy
i declined this invitation but secretly i could not help but feel curious,surprise
i find them downright amusing but other times i feel slugged in that vulnerable spot knowing that i ll never have a daughter,fear
i am sat here feeling mightily distracted and not wanting to write the next scene of my nano just yet rape torture bad stuff,anger
i am still feeling unhappy and upset about the big changes happened befoe but i know times will heal everything img src s,sadness
i feel so humiliated at failing to achieve what i should have,sadness
i fall victim to feeling inadequate if i am anywhere short of perfection in what i set of my expectations or what i perceive are the expectations of others,sadness
i feel when you dont talk to me my friend so loyal and free i dont want it to stay like this i want to have that bliss,love
i went to an lds step meeting and was so overwhelmed by evil feelings and just broke down and said so at the meeting and expressed how low i felt and how ready i was for these feelings to leave my body,sadness
i'm so excited but at the same time i feel a little nervous,fear
i write on this space i feel quite nostalgic and my mind races back to the good old days when i used this as a daily haven to park my learnings and memories,love
i stared up at him amazed by the feeling and as equally amazed that nothing else was happening,surprise
i both feel impatience at the rate of loss and impressed at the same time,surprise
i was supposed to be working on a grant application but feeling overwhelmed i decided to curl up with my computer and netflix,surprise
i feel pathetic at times because,sadness
i feel offended when friends especially married friends somehow judge me for not being married yet,anger
i am looking forward to getting baptized maybe but not until i feel devoted and broken in front of the lord,love
i thought i would feel apprehensive about it i was surprisingly comfortable while he was gone,fear
i really love eating fresh figs because they feel so delicate and look so much prettier than the ugly dried figs,love
i hate feeling so despised and detested by someone who i truly care for and completely love,anger
i crave getting out there and moving and if i dont i feel agitated until i do,fear
i'm feeling pleased and glad that other people like thaliad and want to celebrate it,joy
i feel grouchy,anger
ill be whingeing about how much i ache but at least i can feel slightly virtuous about it too,joy
i was not feeling so nervous because she seemed so calm and collected,fear
i feel rich tonight,joy
i feel about my mommy amp me friends our friendships grew so naturally the strength of them surprised me,surprise
i understand the feeling so i wouldnt be shocked,surprise
i luckily i don't think anyone i know was there at the time but can't help feeling a bit shaken,fear
i feel that i'm so pathetic and downright dumb to let people in let them toy with my feelings and then leaving me to clean up this pile of sadness inside me,sadness
i dont think that happens a lot so i feel insanely cranky when i couldnt get an ear immediately,anger
i was down feeling greedy and depressed,anger
i've been feeling disgusted and ashamed,anger
i purple month doesnt feel surprised in fact zhuo feng up many pupils all clear xiao her identity dont even say main star feng of young,surprise
i feel curious to know more i think the procedure worked well,surprise
i feel people around me do not understand it they have no acceptance that i might need to grieve and suffer not only from the loss of my mother but the grief of never having a loving relationship expressed in ways i would want,love
i hate talking about presents because i feel greedy,anger
i bought some three books after feeling disillusioned with the one id brought with me to glasgow,sadness
i feel like i'm so spiteful so negative about everything and everyone now,anger
i tell the people closest to me things that i am feeling and its as if they arent surprised because theyd known it all along,surprise
i feel invigorated as i am one,joy
i feel weird,surprise
i didnt feel that way with this we got to be with everyone on the dangerous path to freedom,anger
i have to be honest and say that the first two chapters sort of overwhelmed me and i wasnt sure that i was going to be able to follow everything and was feeling kind of dumb,sadness
i've been feeling very intimidated and overwhelmed by the workload this semester and so i've just been avoiding doing what i need to,fear
i do feel resentful towards other bloggers writing for and against i don't even qualify to feel offence since delhi girls are obviously punjabi,anger
i feel excited just exams left to freedom'm wish me superduperreally luck,joy
i go further let me tell you why i feel unhappy,sadness
i feel like i'veimpressed a lot of the scientists with my ability to quickly pick up all the skills expected of a tech,surprise
i feel when i read your words and realize one more time just how very good of a writer you are the feeling of shared sympathies,joy
i just finished a long day of work and am feeling a bit sentimental and its been a few weeks so i thought id get on here and write a few words,sadness
i feel more of numb now,sadness
i am really enjoying doing tai chi with a weapon it feels flowy and elegant,joy
i got a good feeling from the school and i have a lovely class,love
i'm feeling bitter today my mood has been strange the entire day so i guess its that,anger
i feel extremely mind fucked,anger
i feel this way is probably because i am dumb and i try my hardest to cover it up by reading lots and lots of books or you know becoming a doctor,sadness
i feel nostalgic to travel away from my country my family and my friends not because i dont like them,love
i always plant a big section of lettuce and i leave it open for those pesky bunnies so that they can feel all rebellious as if they are raiding my garden,anger
i chat with other parents no great friendships have come out of it yet but it's nice to feel on friendly terms with some of the people i see at school events and around the neighborhood,joy
i feel this ad does i'm not impressed,surprise
i suggest before you begin you take some time to reflect on your relationships and understand what specifically makes you feel valued and loved and what makes you feel insecure and unnecessary,joy
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,fear
i am feeling the strange mix of extremely proud relieved she is on the path to her fabulous future but gutted she has chosen to move out to live in halls of residence at uni,fear
i feel less alone and more like i belong,sadness
i get to feeling vain about it i start thinking of it as a battle scar and one that i will wear proudly,sadness
i got the feeling that the person on the other end hated me,anger
i learned about taking a dip in the dating pool its that in relationships its always better to feel surprised than disappointed,surprise
i feel terrible for him but omg,sadness
i feel a pang every time i read an amazing canadian literary magazine for instance that id love to submit to only to see i'm on the do not enter list,joy
i have to take jenny in to be spayed so of course i'm feeling nervous and guilty,fear
i would have liked to go but that i wouldnt leave without reason because that would feel highly uncomfortable,fear
i'm feeling really festive this year usually i dont get in the mood until mid december,joy
i wasnt feeling all that hot and i was moving well,love
i'm feeling artistic today,joy
id feel regretful since most of my friends didnt go aboard when they graduated or had a free summer and i actually did more travelling than most of them with my regular trips to china to visit family,sadness
i feel that i'm as curious as when i was a child,surprise
i'm not feeling treasured i need to remember that its hard to treasure something that has been lost,love
i feeling shy,fear
i'm feeling generous lets make it a,love
i don't feel like there was a part before the race where i was stressed out,anger
i feel regret for my beloved city,love
i can describe what happens to me is that i feel shaky,fear
i left that meeting feeling helpless and betrayed by the very laws that are supposed to protect me and other people in this state,fear
i feel its rude to say he is better than all the other men,anger
i tend to feel a bit cranky when i'vegone for a few days without making art,anger
i really didn't know what i was feeling my mind was blank i was confused and numb,sadness
i can choose to feel deprived or empowered,sadness
i sit down to author this letter i feel a little surprised that an entire year has already passed us by,surprise
i feel like i have been a bit obnoxious in my picture posting,anger
every time i meet a certain dog that has once bitten me,fear
i went to work but i feel stunned and numb,surprise
i feel such a longing to be near him when we dont,love
i feel slightly emotional watching it,sadness
i feel your presence beloved,love
i feel very dissatisfied with myself,anger
i went to a wedding this weekend and i have to say i was feeling very important,joy
i feel like i am really valuable to him,joy
i feel like i'm a very very dangerous human being right now,anger
i used to feel as if i would be hated and whatever so i kept quiet about god,anger
i think that they pop up so automatically because seeing those pictures or people makes me feel insecure about myself,fear
i feel stressed i tend to scrapbook and make cards,anger
i'm feeling and i say useless and he says that fucker messed with your head,sadness
i really hate this feeling when you really give so much damn about someone but really all that person show you is just simply like they cant be bothered with you,anger
i feel more self assured and confident in my abilities,joy
i woke up feeling all frustrated and upset again re enacting the moment i had to succumb to the docs insults and arrogance for a favor to clarify truth about my health,anger
i feel so helpless but so well protected,fear
i'm feeling truly adventurous ill go for a faux hawk of some sort,joy
i feel for all of you who have been supporting me is so extreme there would be no way to put a number value on it,joy
i feel so burdened as if something is holding me still and weighing me down,sadness
i feel like i'm making all the effort and i cant be bothered with it anymore,anger
i'm feeling a little impressed at their creativity,surprise
i am feeling like a delicate wee flower and have given myself permission to lay around drinking tea and eating cream buns and reveling in my passion for poetry,love
i was sipping my diet coke watching my the swimming lessons and feeling aggravated that my mousekins were not being better listeners the thought crossed my mind,anger
i were to go overseas or cross the border then i become a foreigner and will feel that way but never in my beloved land,love
i'm feeling distracted and likewise attracted to all the things that you let me know all the things that you cant let go youre waiting,anger
i'm feeling brave ill snatch him to on my lap and after a few seconds of struggling he completely relaxes and submits to mommy scratches,joy
i think about the fact that as i was leaving jordan hospital feeling triumphant at the completion of my last radiation there was a horror story unfolding two states away,joy
i think the most common one that everyone has experienced is that doom and gloom feeling where you just feel like something tragic just happened,sadness
i hardly feel like i had a weekend if i dont get fucked up,anger
i have been perspiring like crazy even in school that makes me feel so dirty and muddy,sadness
i feel unsure of my footing,fear
i don't know everyone's political views nor do i ask unless i feel it's important for further discussions or so that i don't offend them,joy
i may give up much sooner than my days if i feel like i'm gonna die but i've been curious for a while,surprise
i feel heartbroken when he tells me that he feels that i dont love him when i really do love him,sadness
i remember feeling surprised that i had the option not to listen,surprise
i'm starting to not buy the whole everything happens for a reason bit or god has a plan b c i feel that god is love and theres no way that he would torture me and other women like weve been tortured dealing w fertility issues,anger
i feel a whisper a friendly voice start to rise indulge until your hearts content and pay no mind,joy
i feel like i'm tortured like years ago,fear
i popped a fever and even my co workers we urging me to go home before i even had a chance to open my mouth and voice the obligatory i'm not feeling so hot,love
i have a few favourites of my own but the choice of book is up to you or you can have a dvd if you are us or uk i'm feeling generous so the limit is up to which is about something like that,love
i am feeling pretty confident that on monday i will get up and slip in to the water at masters swim and enjoy my time with everyone there,joy
i feel furious at myself for being so pathetic furious at her for various reasons,anger
i feel a little intimidated,fear
i wish for each one to feel with my loving embrace ready to hold you and pick you up giving you strength to face whatever challenges lie ahead,love
i feel so grouchy and irritable when i'm sick,anger
i always feel afraid of telling people because i dont want them to see me differently my self image is very poor and i dont want to transcribe that onto them,fear
i feel like since i missed out on so much school my brain is craving knowledge of any form,sadness
i am feeling like i have more energy and loving every minute of it,love
i do find myself feeling distraught about getting older and stressed about the impending responsibilities that are to ensue i am generally content with only a little bit of repressed anger that makes it's appearance only when it's instigated,fear
i broke my uncles radio player accidentally and so i feared that he was going to cut me off from going to his house as well as playing it again,fear
i still feel quite amazed at how silent snow is compared to rain,surprise
i have to say it is making me feel very tender inside like a wound that has scabbed over on the surface but is still raw and unhealed underneath,love
i usually love being home i'm starting to feel anxious about all of this,fear
i actually prefer peep toe shoes because of it because then i wont notice that my shoes feel funny,surprise
i cant help but feel a little bit agitated,fear
i feel god in my life more now than i ever have before and things are so wonderful right now,joy
i feel dirty even admitting that i've seen it much less own it on dvd,sadness
i tend to pretend i understand what someone says even when i dont fully understand because i dont want them to feel embarrassed or to seem like i'm not in the know,sadness
i feel somewhat frightened by the number of policemen that arrived but told them they may come inside and search for whatever they need to,fear
i wish i had a pasta dish that combined the beet and rabiola fresca ravioli and the naked pasta i feel like these two dishes encompass the yin and yang or in this case the sweet and savory sides of the perfect summer pastas,joy
i feel like i am a selfish person,anger
i sing decently but coming from the kind of family i do i always feel like i'm less talented so i've never really tried to learn as such,joy
i still feel a craving for sweet food,joy
i had feeling that if i didn't help that this can turn into a bad scene,sadness
i could almost be tempted to carry on doing photography only together as it worked so well but i feel that my aching back and nervous system will persuade me to remain as a retired wedding photographer,sadness
i can feel the rebellious spirit already,anger
i don't understand it because this show is as expensive as any show that's ever been done by anyone i should think and we re making a profit um so you don't need to feel over sympathetic towards us,love
i'm home i can feel how the cold has seeped into my arms and legs,anger
i feel even more pressured to cook healthy meals and not eat out do thorough preschool lessons with my boys keep the house spotless exercise serve the church and community and be a happy loving wife at all times,fear
i feel pretty yuck and i dont really want and to get out and do anything,joy
i'm also feelin a lil uptight and sucky lately and you know the reason,fear
i feel more virtuous just looking at the pictures in her books,joy
i'm feeling a little overwhelmed here recently,surprise
i'm feeling a little giggly here,joy
i'm trying to smile for the camera and keep my eyes open while i'm really feeling terrified and screaming about as loud as i can with my eyes tightly closed,fear
i started feeling nervous thinking about how id planned to feed younger teens,fear
i feel bad about that but this last years i started to realize no matter how many friends i have or know it doesnt matter i'm still a loner,sadness
i couldnt help feeling for him and this awful predicament he lives with on a daily and nightly basis and i was just so glad that once bel started to see the light he stuck it out and stood by daniel whilst no one else did including his family who i'm afraid i got really disgusted with,sadness
i doubt theres any greater reluctance by federal authorities to employ tear gas and plain force if they feel threatened,fear
i'm fine but i feel i have wronged someone,anger
i feel overwhelmed in a good way,fear
i feel like a greedy ingrate for saying this but i felt kind of bad about my presents,anger
i get really sweaty during these episodes and my stomach will feel really funny like i'm free falling,surprise
i feel thats the most tragic human trait,sadness
i was tempted at first to name one of the many projects that the archdiocese has underway that i feel very passionate about like the restoration of saint patrick's cathedral or the strategic plan for our excellent catholic schools,love
i feel an inner conflict between my sense of duty and my desire to play i hadn't entertained thoughts of sex,joy
i feel like i was there to feed them food touch love caring and compassion,love
i feel a bit strange saying it,surprise
i feel equally wronged,anger
i feel burdened by her presence,sadness
i may be starting to feel paranoid or maybe insecure but i'm just a mere human being who yearns to be loved to be cared of and to be noticed,fear
i feel frightened by it all,fear
i know what i believe and how i feel but some part of me is still hesitant because the old me would have said that anyone who believed there was a god was crazy,fear
i always feel overwhelmed with a mixture of feelings while listening to these songs,surprise
i started to feel resentful of the whole situation and that's when something clicked,anger
i've just been feeling so unimportant,sadness
i feel excited to be serving on a team of committed individuals who are dedicated to youth development and environmental education,joy
i was feeling a little nostalgic,love
on the way down a ski slope which was difficult and steep,fear
i get the feeling that the few kids that i hated senior year are gonna be there,sadness
i feel like if you can't admit that you'vealways been a little bit weird or a little bit quirky it's just taking yourself too seriously,surprise
i feel that he is gazing me and giving a naughty smile encouraging me to study more,love
i feel burdened by my own expectations,sadness
i stopped feeling bitter and sorry for myself and lost myself in the work my work started getting better or rather continued to get better,anger
i always conceal my real true feelings because i'm afraid of being venerable and taking advantage of because well that happened before and it really destroyed me,fear
i love to be beside the ocean when i feel distressed,fear
i feel i'm being nutritionally supportive of it as well,love
i'm feeling very blessed to live in a state with such beautiful sights like virginia has,joy
i still feel funny writing that like maybe i should call her my spirit guide or really observant cheerleader or something,surprise
i dont want to talk to anyone because it was such a dumb mistake and i feel so miserable already that i dont think i could take someone giving me one of those are you serious,sadness
i'm feeling generous today heres the link,joy
i like the feel of the game but i'm not very fond of the color scheme,love
i feel amazed because when he watch his victim intensely the lying blonde has a pretty face like a girl his skin so smooth his lips so soft and pink and,surprise
i often feel resentful of anything that seems good,anger
i started having that creepy feeling again like she still hated me,anger
i think i wanted audiences to feel impressed inspired or entertained when i was on stage,surprise
i try so hard to help them see the joy in life i always feel i can help these damaged and empty people and each time i fail i have to accept it as their failure not mine and i have a hard time doing that,sadness
i feel sorry for her she had a good thing in dh but she abused it and him resulting in his depression and diagnosis of generalised anxiety with panic features and then lost it,sadness
i also know that if today i refuse to hate jews or anybody else it is because i know how it feels to be hated,sadness
i feel when you should walk in to see the film you should be pleasantly surprised with the film's inherent connect,surprise
i feel that sweet potatoes are very under rated,love
i feeling a little tender and uncomfortable but the needle marks on my bum are worse,love
i feel so wronged but what can i do,anger
i'm still feeling pretty low and demotivated including ups,sadness
i have made about sex i feel that women enjoy sex when their body and emotions are admired and respected,love
i suspect that a few feel revulsion it elicits a weird uncomfortable fascination,surprise
i feel extremely fond of comes an avalanche of anxiety,love
i don't feel all that romantic,love
i don't feel that longing,love
i had my carrot sticks not on the program they want you to eat super low gi veggies and carrots are relatively high in sugar however they were convenient and later another shake but i was still feeling pretty lousy,sadness
i feel my hands being weaved with yours such delicate intimacy being shared by the hands of two people who shares so much secret for the world to be mystified,love
i feel idiotic sifting through personals sites only nerve,sadness
i find myself feeling passionate about,love
i like to slump into when i'm feeling precious,joy
i didnt know what it was but i then went home to later experiment so that i would feel accepted but as i experimented i learned a new feeling the feeling of greed,love
i always feel very shocked by that me threatening,surprise
i feel so fond of him i want to squeeze him tightly and not unusually,love
i do not see but could feel that she is someone i am very reluctant to let go,fear
i feel like this sums up the vanity of humans funny pictures funny quotes funny memes funny pics fails autocorrect fails,surprise
i feel so blessed that god has chosen me to help guide them,love
i feel i'm ugly i feel that i dont deserve to exist in this world,sadness
i feel very blessed to call them mom and dad,joy
i feel so delighted when the varsities picked me to be their muse,joy
i feel and i am keen to come to china and experience life in a new country,joy
i was taunted by the ability of feeling threatened from weakness of frailty beneath this exterior of human existance lies a woman wanting nothing but a man needing his warmth and masculinity,fear
i feel like damaged goods no one will want me now,sadness
i'm home and feeling a bit low,sadness
i feel curious about the subject matter,surprise
i was feeling apprehensive about my journey because i would be using public transportation the whole way,fear
i feel less hesitant predicting that the oeuvre of nick dewitt will continue to bear fruits that seem to come from distant times forward and or back,fear
i also have the feeling i need a very relaxed practice today,joy
i feel so so tortured by looking at the lecture notes and nothing is going in except for my holiday plans,anger
i left the office feeling so relieved,joy
i for thanksgiving complete with lb suspiciously moist turkey and traditional stuffings and with the final death of thanksgiving i can look around and go ahhh and start enjoying the holidays rather than feeling assaulted by them,sadness
i feel amazed how this sh it things happened to me,surprise
i feel like there is so much more i could be doing for the community and loving children is what i excel at,love
i am feeling a bit overwhelmed tired anxious etc,surprise
i feel like i liked my hair much better before i was using a sulfate free brand and i believe i am using a reputable brand,love
i am suddenly feeling insulted while typing this down,anger
i love running because i feel strong and powerful and totally in control,joy
i already feel like i'm being tortured by not having any,fear
i do awaken from a mild night sweat i usually feel hot as if i had a fever and i want to remove some of my blankets,love
i feel pleased but at the same time i really don't understand why do we feel this patriotism only twice every year,joy
i've spent the last several days feeling irritated with myself because i'm not writing,anger
i feel like i just don't want to be bothered i just listen to music,anger
i feel like a very impatient mensa member at such times,anger
i have a feeling i will be dissatisfied several times,anger
i started to see a concerning pattern i d rush home at the end of the evening's activities to write out a post sometimes i d be feeling frustrated and flustered while sometimes i was eager and inspired,anger
i guess this is exactly what being feels like longing to go on adventure but at the same time feeling like you want to settle,love
i have noticed more symptoms coming back over sleeping and eating feeling lethargic my temper and doing less around the house,sadness
i was feeling quite groggy in the days before the race the glands in my neck were sore and swollen and i could tell my body was fighting a bug of some kind,sadness
i feel very vulnerable and exposed too when i was in school i never thought this was how my life was going to be,fear
i have already said i am one of many feeling threatened and attacked by the government and media of today and have had to look outside my own small life,fear
i feel really greedy wanting all this stuff but my mom asked me to make a list so,anger
i dont even know all i know is that i feel like i'm getting fucked from behind,anger
i just don't understand the betrayal the lying the hiding and the making me feel like crap with comments of you re paranoid,fear
i used to wake up feeling horny sometimes and have to finish myself off before i got up,love
i feel like i'm presenting myself in a less hostile manner now when i am dragged to an event or gathering full of stupid fake people,anger
i am appalled that i feel violent toward another human being,anger
when i nearly caused a traffic accident with my car,fear
i'm feeling the world spin around me while i'm in bed only after a couple of glasses of wine which doesnt do this to me i'm getting suspicious,fear
i don't exactly feel sociable still,joy
i was coming back to the couch was tough but i was feeling ok about it,joy
i was fond of but to whom i have remained quiet about my liking for them either because i am confused about my feeling or because i feel inadequate about myself,sadness
i feel like we re getting a terrific recruiter basketball coach and person,joy
i feel they travel back to all their fond memories inside the flashback of their thoughts where they view their once achieved wonderland,love
i started to feel homesick for the first time in my life even though i had lived abroad before for years,sadness
i am not sure why in that moment that i thought i would be able to feel it hellip but it was pretty funny,surprise
i'm feeling a much more festive with the tree in,joy
i a bad person for feeling burdened by our relationship,sadness
i have to outweigh the feeling of discontent when i finally get in my bed at night,sadness
i know its been a long time and i feel so pathetic why i have to feel this way but i do,sadness
i feeling strange energies,surprise
i just need to finish my venting feeling relieved not still feeling irritated,joy
i stand you come across as a complete stranger to me but i feel compassionate about you,love
i tend to avoid the news because i often feel like it doesn't add value to my life and only makes me fearful anxious and slightly paranoid,fear
i am thinking about md who was there for me through my teen years offering guidance and support and making me feel special making me feel like i matter,joy
i am supposed to feel doubtful but i still think i forget sometimes how amazing it is that i am living in this city and that i get to work with such inspiring young women at my internship,fear
i feel betrayed where i serve and fellowship by no fault of my beloved pastor and c pastor,love
i want to write that makes you feel the frantic induced nightlife of being on speed,fear
i was feeling very generous wild and crazy and we went through the drive through at steak and shake,love
i was little i always had this exciting jittery feeling the day before i went on holiday but now i'm pretty meh about it,joy
i just want to feel loved by you,love
i feel like such a noob when the customers make really dull and stupid jokes that i'm supposed to find funny,sadness
i don't really believe because i walked through all the water stops in my first marathon and i actually don't think that walking is bad but dammit i was feeling stubborn and i wanted to get home and needed to be motivated by something,anger
i found it hard to feel for any of the supporting cast who eventually became late night snacks for the vampires,love
i feel for the people who dont see its worth or are too afraid to discover it,fear
i remember the very first day of feeling lousy years ago and how i believed my body was betraying me,sadness
i feel like i rather have loyal readers than followers that don't ever look at my blog,love
i understand that chronically living makes some healthy people feel threatened or afraid,fear
i brush it to the side or tuck it behind my ear only to feel a few rebellious strands escape and tickle my cheeks and my lips i realize i'm not the one in control,anger
i asked how does the long grass feel he said this long grass feels lovely,love
i feel the reader will get confused with because it bounces and uses references from its earliest time period which is like the dawn of time till now,fear
i feel i am quite mad,anger
i feel a funny mix of emotions,surprise
i also loved that you could really feel the desperation in these sequences and i especially liked the emotion between knight and squire as theyve been together in a similar fashion to batman and robin for a long time now,love
i feel so violent but i'm a paper tiger,anger
i really like it i feel so nostalgic watching decade as i remember a lot of the hesei kamen riders,love
i hope it is because he understands the way i feel i hope he sees what he could miss and is putting the petty negative thoughts aside,anger
i enjoyed it for the most part for an entertainment value due to it being a fast and mostly fun read i also had several qualms with it at the same time that left me feeling dissatisfied,anger
i have eaten at many restaurants and feel that we enjoy the cheaper but much more delicious eateries than these more elegant but lacking in spice and flavor places,joy
i feel really bothered,anger
i grabbed my shoes no socks too lazy and got on the car and the teacher greeted omg she is so nice i feel really bad,sadness
i feel no joy no pride there is nothing to be admired in that foul achievement,love
i have admitted defeat and asked the other half to come back from the lake coz i just feel so uptight already,fear
i am feeling so super accomplished i've even forgotten what i was going to post about,joy
i am feeling quite blessed and enjoying my time here,love
i can't help but feel amazed,surprise
i myself stood before the crowd and talk but no more recent addition to the crowd feeling a little shaky hihi training and skills needed to maintain constant the better,fear
i know they don't really mean anything by it but when you are feeling as crappy as i am you find yourself really wanting to give them a wakeup call,sadness
i feel lola falls under this strange demographic,surprise
i seem to be feeling a little less anxious this week but i sure wish that i could check on her every week at the doctor instead of the that are scheduled,fear
i mean i enjoy feeling pretty with make up on,joy
i'm trying to be understanding open minded and fair but i'm feeling completely pissed to the max about a few things,anger
i also feel like i have been accepted with open arms hearts and minds thanks for facilitating this welcoming and supportive community marie,love
i'm feeling a little tender in my wood works,love
i hope to make blood clots feel unwelcome in my body in any way possible as one of my new years resolutions,sadness
i yearn for when i feel vulnerable,fear
i'm just feeling so inspired now that my hair is freshly cut,joy
i myself smiling through loving simple dialog child logic explain situation feelings it's funny,surprise
i think this is really great having been in situations where i feel overtly threatened in a public place where everyone pretends they don't see what's happening,fear
i feel that cold breeze,anger
i probably missed you too much jongwoon teases but ryeowook doesn't have to hear him say it to know it's truth feeling it in his kisses the gentle touches up his spine warm breath ghosting over his ear,love
i am made to feel useless,sadness
i finally feel like i'm getting treatment for my injury and that i'm not being punished for having been injured during an assault,sadness
i think that our favorite activities as a child are often very telling and if someone is feeling a little unsure about their life's direction going back to those childhood favorite past times holds many rich clues,fear
i don't know i feel really helpless about it,fear
i do feel pressure to provide my faithful reader with a mock draft i've decided to go forth promising to emphasise speculation rather than educated mock over draft,love
i feel so alone and i'm just going out of my mind,sadness
i am torn about the situation because it happens a lot but they have supported me and i feel like i should be supporting her again now,love
i still feel a little bit listless but i'm coping with it by getting as much work done as possible to distract myself and trying not to overthink anything,sadness
i could feel the cool air marillac was like a giant residential freezer flow with more ease through the teeny extra hole in my right nostril,joy
i feel your suffering reflects just a fraction of my own suffering,sadness
i really feel like he will never love me he will never be affectionate because he doesnt love me,love
i was feeling particularly glamorous in my charlies angel on the weekend travel outfit and comfortably passed three hours in the zoo that is gates by reading fashion mags,joy
i am so thankful that though things are a bit overwhelming he has sent people into our lives to help me not feel so neurotic,fear
i feel that the students in this classroom are very hostile towards any display of intellect just like the rest of society,anger
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,fear
i feel like now its more of sweet apple now,love
i am your friend then why do i sometime feel so insulted around you,anger
i kind of feel more violent after having watched the non violence video,anger
i feel like a cold object with no identity,anger
i feel vulnerable and alone,fear
i didn't feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,fear
i accidentally feel the mood and jumped into blogspot then what surprised me was for over views lol,surprise
i feel like i am meant to partner up be supportive lend a hand or a heart and yet i resent this feeling,love
i feel quite delighted at my tyre planter that just keeps on blooming away,joy
i feel so amazed i've had views in the past week,surprise
i can feel myself getting agitated at all the constant noise chatter,fear
i allowed myself to feel the really shitty feelings while i was running because a the endorphins were flowing so it hurt less and b so i could pretend i was running away from them,sadness
i'm feeling nostalgic about listening to this kind of music again,love
i am quick to anger and lash out yet even quicker feel remorseful almost immediately,sadness
i dont know why but i had started to feel the weird pressure of a largely silent audience and with it a falsely inflated sense of importance in expressing myself and my ever so articulate opinions to said audience,surprise
i know that feeling myself the strange sense of serendipity where minds collide between pages,fear
i feel petrified about his future,fear
i guess it is the taboo feeling naughty bad and dirty,love
i read these i am always very touched and feel so blessed,love
i am feeling fine apart from being a little tired from being rudley woken up by some noisy drivers,joy
i've spent years feeling resentful and trying to curb that feeling of resentment,anger
i feel todays schedule was an aching am to pm backed up by a mere hours of sleep one sandwich and tall espresso,sadness
i believe him when he says it was a mistake i feel hes being sincere but i want him to be sure as to what he wants from me,joy
i don't feel the least bit unwelcome in my party and my views are not uncommon,sadness
i've not used elvive for years and i admit to feeling a bit naughty having strayed from an sls free formula,love
i took several deep breaths feeling the cold air burn its way into my lungs and exhaling little clouds of vapor,anger
i just didnt feel like taking her bitchy attitude,anger
i cafeteria i sit sitting myself feels hurt scared,sadness
i cannot feel more sincere,joy
i'm feeling kind of dumb admitting i was gloating over the fact that i had her now,sadness
i feel all messy,sadness
i am feeling unsure about my words but it also means i am writing which is good,fear
i feel horny i feel horny anyone wanna see me,love
i guess how this clouds your viewing depends on how you feel about filmic content personally i dont really give a shit what a film is saying so much as the way its being said and in this case the film is simply too great to ignore but its a sour note in an otherwise delicious orgy of depravity,joy
i like you and i'm feeling generous,joy
i don't know how sasha fierce feels i'm definitely curious about the future of beyonc's sound,surprise
i do not feel i am damaged i can talk about it helps but i feel i am a strong person and i don't use it as a scape goat for thing that happen,sadness
i feel so much pain inside for their aching hearts,sadness
i enjoy not feeling horny not craving sex,love
i now feel compromised and skeptical of the value of every unit of work i put in,fear
i read after watching the film argued that it makes sense for its author to feel so offended by the changes from the truth that were made in the film as it is being used in an attempt to effect real life verdicts,anger
i was feeling calmer and more trusting on his restraints that he was helplessly trying to remove,joy
i am going to have to check on in just a few minutes but there is this clock up above the screen that keeps ticking down the minutes i have left so am feeling a bit frantic,fear
i think i want to go to an aa meeting just to hear the stories but it feels rude,anger
i'm typing all of these i'm blowing my nose and feeling extremely cranky,anger
i love how comforted i feel when i'm around hunters sweet family,love
i will always help others in any way i can but if you don't feel it within you to do the work and to finally learn to love yourself then my help and motivation will be in vain,sadness
i feel so glad that i'm able to have the time to spend some time with my family now,joy
i was feeling a bit skeptical about my frog prince,fear
i am working for but that work requires opportunity certain freedoms of expression and of movement and i may sound paranoid by saying this but i feel those freedoms threatened and more and more each day,fear
i told her that we cannot continue this way and when she is starting to feel frustrated she has to let me know in a calm way,anger
i became attached early on and feeling the decline in the relationship scared me,fear
i p i could sit here and beat myself up over it all but i'm feeling far to rebellious for that today basically i'm feeling angry at the world and at myself all at the same time,anger
i can feel all supportive and jrock ish in school tommorrow,love
i feel suffocated and paranoid,fear
i wonder amp sometimes feel tragic also about the universal conspiracy,sadness
i was feeling a little skeptical that it would arrive on time the situation was not improved by the fact that despite various perfect party setups seeking in ffxi nobody was bothering to set them up including me but duh i'm lazy,fear
i don't feel sorry for wisdom i know how many sleep hui live to be now and enthusiasm for the new china's socialist construction work,sadness
